customer_id,n_txn,alert_rate,ind01_score,ind01_pvalue,exclusivity_share,linked_cluster_id,ind02_score,ind03_04_score,claim_rate,total_score,priority_band
CUST00135,38,1.0,3.0,5.708990770823844e-31,1.0,0.0,3,3,0.10526315789473684,9.0,High
CUST00070,37,1.0,3.0,3.5681192317649024e-30,1.0,5.0,3,3,0.13513513513513514,9.0,High
CUST00089,33,0.36363636363636365,3.0,0.0036363000497691726,0.06060606060606061,4.0,0,0,0.0,3.0,Medium
CUST00085,26,0.3076923076923077,1.0,0.04504996661125992,0.07692307692307693,2.0,0,0,0.038461538461538464,1.0,Low
CUST00005,49,0.20408163265306123,0.0,,0.061224489795918366,2.0,0,0,0.04081632653061224,0.0,Low
CUST00006,36,0.16666666666666666,0.0,,0.027777777777777776,9.0,0,0,0.027777777777777776,0.0,Low
CUST00007,48,0.08333333333333333,0.0,,0.020833333333333332,1.0,0,0,0.08333333333333333,0.0,Low
CUST00008,31,0.1935483870967742,0.0,,0.06451612903225806,16.0,0,0,0.0,0.0,Low
CUST00009,39,0.07692307692307693,0.0,,0.05128205128205128,1.0,0,0,0.02564102564102564,0.0,Low
CUST00010,30,0.23333333333333334,0.0,,0.03333333333333333,0.0,0,0,0.0,0.0,Low
CUST00011,26,0.15384615384615385,0.0,,0.07692307692307693,0.0,0,0,0.038461538461538464,0.0,Low
CUST00012,29,0.1724137931034483,0.0,,0.034482758620689655,0.0,0,0,0.0,0.0,Low
CUST00013,30,0.06666666666666667,0.0,,0.06666666666666667,6.0,0,0,0.03333333333333333,0.0,Low
CUST00014,24,0.125,0.0,,0.041666666666666664,3.0,0,0,0.0,0.0,Low
CUST00015,37,0.1891891891891892,0.0,,0.02702702702702703,0.0,0,0,0.02702702702702703,0.0,Low
CUST00016,30,0.06666666666666667,0.0,,0.03333333333333333,0.0,0,0,0.03333333333333333,0.0,Low
CUST00001,33,0.21212121212121213,0.0,,0.06060606060606061,2.0,0,0,0.09090909090909091,0.0,Low
CUST00002,39,0.15384615384615385,0.0,,0.02564102564102564,2.0,0,0,0.02564102564102564,0.0,Low
CUST00003,43,0.2558139534883721,0.0,,0.046511627906976744,8.0,0,0,0.046511627906976744,0.0,Low
CUST00004,39,0.1282051282051282,0.0,,0.07692307692307693,1.0,0,0,0.02564102564102564,0.0,Low
CUST00021,36,0.05555555555555555,0.0,,0.027777777777777776,3.0,0,0,0.0,0.0,Low
CUST00022,30,0.2,0.0,,0.03333333333333333,0.0,0,0,0.06666666666666667,0.0,Low
CUST00023,37,0.10810810810810811,0.0,,0.05405405405405406,6.0,0,0,0.0,0.0,Low
CUST00024,33,0.21212121212121213,0.0,,0.030303030303030304,0.0,0,0,0.030303030303030304,0.0,Low
CUST00025,32,0.1875,0.0,,0.03125,2.0,0,0,0.03125,0.0,Low
CUST00026,41,0.2682926829268293,0.0,,0.024390243902439025,1.0,0,0,0.04878048780487805,0.0,Low
CUST00027,30,0.1,0.0,,0.03333333333333333,2.0,0,0,0.0,0.0,Low
CUST00028,30,0.1,0.0,,0.06666666666666667,8.0,0,0,0.0,0.0,Low
CUST00029,37,0.08108108108108109,0.0,,0.02702702702702703,3.0,0,0,0.02702702702702703,0.0,Low
CUST00030,26,0.15384615384615385,0.0,,0.038461538461538464,1.0,0,0,0.0,0.0,Low
CUST00031,33,0.18181818181818182,0.0,,0.030303030303030304,2.0,0,0,0.0,0.0,Low
CUST00032,28,0.10714285714285714,0.0,,0.07142857142857142,13.0,0,0,0.0,0.0,Low
CUST00033,28,0.14285714285714285,0.0,,0.07142857142857142,15.0,0,0,0.03571428571428571,0.0,Low
CUST00034,28,0.03571428571428571,0.0,,0.07142857142857142,0.0,0,0,0.0,0.0,Low
CUST00035,29,0.10344827586206896,0.0,,0.034482758620689655,0.0,0,0,0.0,0.0,Low
CUST00036,38,0.13157894736842105,0.0,,0.07894736842105263,15.0,0,0,0.05263157894736842,0.0,Low
CUST00037,31,0.16129032258064516,0.0,,0.03225806451612903,2.0,0,0,0.06451612903225806,0.0,Low
