customer_id,n_txn_early,n_txn_late,median_value_early,median_value_late,alert_rate_early,alert_rate_late,claim_rate_early,claim_rate_late,value_change_pct,alert_rate_change_pp,claim_rate_change_pp
CUST00001,17.0,16.0,9654.71,16442.175,0.23529411764705882,0.1875,0.11764705882352941,0.0625,70.3,-4.8,-5.5
CUST00002,21.0,18.0,15690.82,70735.435,0.14285714285714285,0.16666666666666666,0.047619047619047616,0.0,350.8,2.4,-4.8
CUST00003,19.0,24.0,13917.48,51583.78,0.2631578947368421,0.25,0.10526315789473684,0.0,270.6,-1.3,-10.5
CUST00004,18.0,21.0,7847.72,7730.35,0.1111111111111111,0.14285714285714285,0.05555555555555555,0.0,-1.5,3.2,-5.6
CUST00005,26.0,23.0,29057.03,109542.72,0.15384615384615385,0.2608695652173913,0.07692307692307693,0.0,277.0,10.7,-7.7
CUST00006,18.0,18.0,64916.965,27756.68,0.2777777777777778,0.05555555555555555,0.05555555555555555,0.0,-57.2,-22.2,-5.6
CUST00007,26.0,22.0,22482.019999999997,42288.82000000001,0.038461538461538464,0.13636363636363635,0.038461538461538464,0.13636363636363635,88.1,9.8,9.8
CUST00008,14.0,17.0,42266.805,15867.41,0.14285714285714285,0.23529411764705882,0.0,0.0,-62.5,9.2,0.0
CUST00009,23.0,16.0,32659.46,14378.085,0.08695652173913043,0.0625,0.043478260869565216,0.0,-56.0,-2.4,-4.3
CUST00010,9.0,21.0,13794.37,46377.26,0.1111111111111111,0.2857142857142857,0.0,0.0,236.2,17.5,0.0
CUST00011,15.0,11.0,80764.71,23453.69,0.06666666666666667,0.2727272727272727,0.0,0.09090909090909091,-71.0,20.6,9.1
CUST00012,14.0,15.0,11987.685000000001,71661.84,0.14285714285714285,0.2,0.0,0.0,497.8,5.7,0.0
CUST00013,16.0,14.0,225178.71499999997,37553.634999999995,0.0,0.14285714285714285,0.0625,0.0,-83.3,14.3,-6.2
CUST00014,12.0,12.0,17339.755,7630.8150000000005,0.16666666666666666,0.08333333333333333,0.0,0.0,-56.0,-8.3,0.0
CUST00015,11.0,26.0,22852.44,65598.19,0.18181818181818182,0.19230769230769232,0.09090909090909091,0.0,187.1,1.0,-9.1
CUST00016,13.0,17.0,89811.27,140622.56,0.07692307692307693,0.058823529411764705,0.07692307692307693,0.0,56.6,-1.8,-7.7
CUST00017,13.0,23.0,8443.62,76785.27,0.3076923076923077,0.21739130434782608,0.07692307692307693,0.13043478260869565,809.4,-9.0,5.4
CUST00018,14.0,10.0,17306.715,20291.165,0.21428571428571427,0.2,0.07142857142857142,0.1,17.2,-1.4,2.9
CUST00019,16.0,12.0,47176.925,35104.17,0.0625,0.25,0.0,0.08333333333333333,-25.6,18.8,8.3
CUST00020,14.0,24.0,117188.26500000001,32806.47,0.14285714285714285,0.20833333333333334,0.07142857142857142,0.041666666666666664,-72.0,6.5,-3.0
CUST00021,16.0,20.0,38348.56,22864.555,0.0625,0.05,0.0,0.0,-40.4,-1.2,0.0
CUST00022,16.0,14.0,30838.975,73525.36,0.25,0.14285714285714285,0.0,0.14285714285714285,138.4,-10.7,14.3
CUST00023,17.0,20.0,53560.69,33944.744999999995,0.058823529411764705,0.15,0.0,0.0,-36.6,9.1,0.0
CUST00024,17.0,16.0,62902.2,52826.795,0.23529411764705882,0.1875,0.058823529411764705,0.0,-16.0,-4.8,-5.9
CUST00025,13.0,19.0,21818.19,62780.57,0.15384615384615385,0.21052631578947367,0.0,0.05263157894736842,187.7,5.7,5.3
